priority,opportunity,cluster,current_url,recommended_asset,route_status,source_signal,next_action,ugc_angle,score
P0,should i grade my card,grading_decision,https://getcardsnap.com/,Refresh /,"Existing route, copy gap","Matched 1 GSC/watch row(s): 0 impressions, 0 clicks, position not available.",Watch GSC CTR; refresh homepage/FAQ only if impressions grow with weak CTR.,I was about to send this card in blind.,88
P1,sports card grading calculator,grading_roi_calculator,https://getcardsnap.com/psa-grading-calculator,Refresh /psa-grading-calculator,"Existing route, copy gap",Seed keyword from CardSnap target wedge; no matching GSC row yet.,Refresh calculator copy and internal links before building a duplicate calculator route.,The grading fee ate the whole upside.,80
P1,baseball card value checker,sports_card_value_lookup,,Create /baseball-card-value-checker,Missing exact-fit route,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Create a baseball value checker page once /sports-card-value-checker has impressions or after the next card-page crawl push.,This baseball card looked valuable until I checked raw vs graded value.,78
P1,basketball card value checker,sports_card_value_lookup,,Create /basketball-card-value-checker,Missing exact-fit route,Seed keyword from CardSnap target wedge; no matching GSC row yet.,"Create a basketball value checker page using existing Luka, Wembanyama, Jordan, LeBron, and Ant examples.",PSA 10 comps made this basketball card look better than it was.,78
P1,football card value checker,sports_card_value_lookup,,Create /football-card-value-checker,Missing exact-fit route,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Create a football value checker page after verifying enough football examples exist in card data.,I checked the fee before sending a football card that needed a 10.,78
P1,sports card collection tracker,collection_tracking,https://getcardsnap.com/watchlist,Refresh /watchlist,"Existing route, copy gap",Seed keyword from CardSnap target wedge; no matching GSC row yet.,Position the watchlist as optional tracking for cards worth checking again.,I stopped guessing which cards were worth checking again.,72
P2,pokemon card grading calculator,pokemon_grading_roi,https://getcardsnap.com/pokemon-card-grading-calculator,Create /pokemon-card-grading-calculator,Existing route covers exact keyword,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Create a focused Pokemon grading calculator page if GSC shows Pokemon grading impressions or if Pokemon pages begin indexing.,I almost graded this Pokemon card before checking the PSA 9 math.,68
P2,psa card value lookup,psa_value_lookup,https://getcardsnap.com/sports-card-value-checker,Refresh /sports-card-value-checker,Existing route covers exact keyword,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Make sure the value checker page says PSA card value lookup and links to PSA 9 vs PSA 10.,I stopped looking at only the PSA 10 number.,60
P2,sports card price history,price_history,https://getcardsnap.com/sports-card-value-checker,Add internal links into /sports-card-value-checker,Existing route covers exact keyword,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Use internal links from card pages to value checker and calculator pages.,One old comp almost made me waste a grading fee.,60
P2,sports card price tracker,price_tracking,https://getcardsnap.com/sports-card-value-checker,Refresh /sports-card-value-checker,Existing route covers exact keyword,Seed keyword from CardSnap target wedge; no matching GSC row yet.,Add careful price-history/tracker copy only where it does not imply live alerts or account tracking.,Card prices moved before I even decided whether to grade.,60
